Listing Name,Price,Description,Link,Dates,Amazon Link,Amazon Price,Amazon BSR
"Lego Stormer -  3.0 Set #2145, NEW SEALED",$100.00,"Lego Hero Factory 3.0 Stormer 2145. Brand NEW. Find out what’s happening on Quatros! Attention, heroes! Gather the team and rush to jungle planet Quatros. Assist Rocka in stopping Witch Doctor before ...",https://www.kijiji.ca/v-toys-games/ottawa/lego-stormer-3-0-set-2145-new-sealed/1478665507,< 32 minutes ago,N/A,N/A,N/A
LEGO Harry Potter Hogwarts Castle 71043,$450.00,"The 3rd largest LEGO Set ever (6020 pieces). Basically brand new. I literally basically just finished building this and now the family wants their dining room table back! Includes all instructions, ...",https://www.kijiji.ca/v-toys-games/ottawa/lego-harry-potter-hogwarts-castle-71043/1563378021,< 15 hours ago,https://www.amazon.ca//LEGO-Potter-Hogwarts-Castle-Building/dp/B07GH953JN/ref=sr_1_1?dchild=1&keywords=lego+71043&qid=1619538475&sr=8-1,CDN$ 499.00,"#5,933 in Toys & Games (See Top 100 in Toys & Games)


#248 in Toy Building Sets"
"""20 Cool Projects For Your Lego Bricks"" Idea Set New Sealed",$15.00,"This does not include any Lego. Please read description. This is a set of idea/building instruction cards created by a third party (not Lego itself), showing you fun things to build with your Lego ...",https://www.kijiji.ca/v-toys-games/ottawa/20-cool-projects-for-your-lego-bricks-idea-set-new-sealed/1563364051,< 17 hours ago,N/A,N/A,N/A
Lego Winter Holiday Train 10254,$220.00,"Lego Winter Holiday Train 10254 Box opened, bags sealed $220",https://www.kijiji.ca/v-toys-games/ottawa/lego-winter-holiday-train-10254/1563347337,< 18 hours ago,https://www.amazon.ca//LEGO-6135658-Creator-Expert-Holiday/dp/B01KOPHVDO/ref=sr_1_1?dchild=1&keywords=lego+10254&qid=1619538480&sr=8-1,CDN$ 499.95,"#49,595 in Toys & Games (See Top 100 in Toys & Games)


#1,516 in Toy Building Sets"
Lego Star Wars First Order Heavy Assault Walker,$180.00,"Lego First Order Heavy Assault Walker, set #75189. This set is factory sealed",https://www.kijiji.ca/v-toys-games/ottawa/lego-star-wars-first-order-heavy-assault-walker/1563336369,< 19 hours ago,N/A,N/A,N/A
Lego Movie 2 Kids Bedding Super Soft Sheet Set - 3 Piece Twin Size,$29.99,"Encourage kids to build their own destiny with this cool and colorful sheet set from LEGO Movie 2. Little LEGO fans can drift off to sleep in cool, crisp comfort, surrounded by their favorite LEGO heroes. This blue bedding set includes a high-quality fitted sheet, flat sheet, and pillowcase for a coordinated LEGO",https://www.kijiji.ca/v-bedding/canada/lego-movie-2-kids-bedding-super-soft-sheet-set-3-piece-twin-size/cas_14176752,N/A,https://www.amazon.ca//LEGO-Creator-Sports-Building-Pieces/dp/B07WHF9228/ref=sr_1_3?dchild=1&keywords=lego+3&qid=1619538484&sr=8-3,CDN$ 13.86,"#5,253 in Toys & Games (See Top 100 in Toys & Games)


#226 in Toy Building Sets"
LEGO Lord of the Rings Shelob 9470,$100.00,"Brand new in box, never assembled! $100 firm.",https://www.kijiji.ca/v-toys-games/ottawa/lego-lord-of-the-rings-shelob-9470/1563323880,< 20 hours ago,N/A,N/A,N/A
Star Wars Lego - The Malevolence 9515,$400.00,"Brand new in box, never been assembled. $400 firm",https://www.kijiji.ca/v-toys-games/ottawa/star-wars-lego-the-malevolence-9515/1563321835,< 20 hours ago,N/A,N/A,N/A
LEGO Super Mario ChainChomp Jungle Encounter Expansion Set 71381,$17.00,Brand new and unopened.,https://www.kijiji.ca/v-toys-games/ottawa/lego-super-mario-chainchomp-jungle-encounter-expansion-set-71381/1563303608,< 22 hours ago,https://www.amazon.ca//LEGO-Encounter-Expansion-Building-Collectible/dp/B08HW1R7X7/ref=sr_1_15?dchild=1&keywords=lego+71381&qid=1619538493&sr=8-15,CDN$ 24.86,"#3,053 in Toys & Games (See Top 100 in Toys & Games)


#144 in Toy Building Sets"
R2D2 Lego Pen,$20.00,Sealed R2D2 Lego Pen.,https://www.kijiji.ca/v-toys-games/ottawa/r2d2-lego-pen/1563257279,Yesterday,N/A,N/A,N/A
lego police station 10278,$270.00,"new, sealed",https://www.kijiji.ca/v-toys-games/ottawa/lego-police-station-10278/1563238407,Yesterday,https://www.amazon.ca//LEGO-Station-Building-Detailed-Displayable/dp/B08NFDZWZG/ref=sr_1_15?dchild=1&keywords=lego+10278&qid=1619538499&sr=8-15,CDN$ 268.97,"#23,534 in Toys & Games (See Top 100 in Toys & Games)


#785 in Toy Building Sets"
"Lego Fire Truck-Brand new, unopened box",$15.00,208 piece Lego Fire Truck for ages 5-12 brand new,https://www.kijiji.ca/v-toys-games/ottawa/lego-fire-truck-brand-new-unopened-box/1563201497,25/04/2021,N/A,N/A,N/A
Lego Curtains Always Building Together Room Darkeners Drapes Kids Window Curtains - 2 Panels 42 X 63 Inch,$29.99,"If you have a LEGO lover in your family, this LEGO ""Always Building Together"" Room Darkening Drapery Panel is just the right choice to create an inspiring finishing touch to your child's room. This drapery panel will also help keep your child's room cozy with its room darkening design that blocks outside light",https://www.kijiji.ca/v-home-indoor-other/canada/lego-curtains-always-building-together-room-darkeners-drapes-kids-window-curtains-2-panels-42-x-63-inch/cas_14170727,N/A,https://www.amazon.ca//LEGO-Ninjago-Spinjitzu-Slam-Building/dp/B07Q2MY5TH/ref=sr_1_1?dchild=1&keywords=lego+63&qid=1619538505&sr=8-1,CDN$ 34.99,"#12,250 in Toys & Games (See Top 100 in Toys & Games)


#463 in Toy Building Sets"
LEGO  Crzy Action Contraptions,$25.00,Downsizing brand new LEGO Crzy Action Contraptions by Doug Stillinger 16 Never-Before-Seen High-Performance Projects,https://www.kijiji.ca/v-toys-games/ottawa/lego-crzy-action-contraptions/1371948472,25/04/2021,N/A,N/A,N/A
LEGO Star Wars 75086 New!,$165.00,"Battle Droid Troop Carrier New, sealed",https://www.kijiji.ca/v-toys-games/ottawa/lego-star-wars-75086-new/1499803556,25/04/2021,https://www.amazon.ca//Lego-Star-Wars-Battle-Carrier/dp/B00SELELS4/ref=sr_1_1?dchild=1&keywords=lego+75086&qid=1619538512&sr=8-1,CDN$ 349.99,"#125,388 in Toys & Games (See Top 100 in Toys & Games)


#1,159 in Building & Construction Toy Accessories"
